,word_name,word_porb
188,汤锅,0.7947868373367575
189,沫子,0.7947868373367575
190,河边,0.7947868373367574
191,油豆,0.7947868373367575
192,洪记,0.6544368426155168
193,活力,0.7947868373367574
194,海东,0.4958697829900951
195,海南,0.6020954659604726
196,海底,0.5059234160307031
197,消费者,0.7947868373367574
198,涮羊肉,0.7947857480562451
199,涮锅,0.7947868373367575
200,清华,0.7773961859914544
201,清水,0.7947868373367574
202,清汤,0.7947868373367573
203,清淡,0.48173698023427397
204,清真,0.4516531445840906
205,滋滋,0.7947868373367574
206,满口,0.5317943688683173
207,火热,0.7947868373367575
208,火鍋,0.7947868373367575
209,火锅,0.5806139041901845
210,火锅店,0.603518488725036
211,灿烂,0.447004234488137
212,炉子,0.7571910223927641
213,炉火,0.7947868373367575
214,炭火,0.7947868373367574
